================================================================================
K线序列模式统计（从首次涨停到信号日）
共 324 笔有效交易，224 种不同模式
================================================================================

K线序列                                               样本数      胜率       平均收益       盈亏比      期望值       
小阳线-一字板-长下影十字星-长下影阳线                               1           0.0%    -14.20%    0.00    -14.20%
大阳线-中阳线-小阳线-一字板-一字板-长下影十字星                         1           0.0%    -14.43%    0.00    -14.43%
小阳线-一字板-长下影十字星-中阳线                                 1           0.0%    -14.76%    0.00    -14.76%
大阳线-长下影阳线-长下影阳线-大阳线                                1           0.0%    -14.92%    0.00    -14.92%
大阳线-长下影阳线-大阳线                                      1           0.0%    -15.06%    0.00    -15.06%
中阳线-中阳线-大阳线                                        1           0.0%    -15.35%    0.00    -15.35%
大阳线-一字板-一字板-小阳线                                    1           0.0%    -15.41%    0.00    -15.41%
大阳线-中阳线-中阳线                                        1           0.0%    -15.59%    0.00    -15.59%
大阳线-中阳线-长下影十字星-大阳线                                 1           0.0%    -15.59%    0.00    -15.59%
中阳线-中阳线-一字板-长下影十字星-小阳线                             1           0.0%    -15.99%    0.00    -15.99%
一字板-一字板-中阴线                                        1           0.0%    -15.99%    0.00    -15.99%
中阳线-一字板-一字板-长下影十字星                                 1           0.0%    -16.44%    0.00    -16.44%
中阳线-长下影阳线-长下影十字星                                   1           0.0%    -16.77%    0.00    -16.77%
中阳线-一字板-长下影十字星-一字板-一字板-中阳线                         1           0.0%    -16.96%    0.00    -16.96%
中阳线-大阳线-大阳线-中阳线                                    1           0.0%    -17.39%    0.00    -17.39%
长下影十字星-一字板-长下影十字星-长下影阳线-大阳线                        1           0.0%    -17.44%    0.00    -17.44%
小阳线-一字板-一字板-一字板-一字板-长下影阳线                          1           0.0%    -17.98%    0.00    -17.98%
大阳线-小阳线-一字板-长下影十字星                                 1           0.0%    -19.01%    0.00    -19.01%
大阳线-一字板-一字板-一字板-一字板-一字板-一字板-小阳线                    1           0.0%    -19.36%    0.00    -19.36%
中阳线-中阳线-小阳线-大阳线-大阳线                                1           0.0%    -19.60%    0.00    -19.60%
中阳线-长下影十字星-一字板-一字板-长下影十字星-长下影十字星-大阳线               1           0.0%    -21.27%    0.00    -21.27%
大阳线-大阳线-长下影十字星-一字板-一字板-大阳线                         1           0.0%    -21.27%    0.00    -21.27%
大阳线-中阳线-一字板-中阳线                                    1           0.0%    -22.06%    0.00    -22.06%
一字板-长下影十字星-一字板-长下影阳线                               1           0.0%    -24.79%    0.00    -24.79%

================================================================================
统计说明：
  - K线序列：从首次涨停日到信号日的每日K线形态，用'-'连接
  - 样本数：该序列模式出现的交易次数
  - 胜率：该序列模式下的盈利交易占比
  - 平均收益：该序列模式下的平均收益率
  - 盈亏比：平均盈利/平均亏损
  - 期望值：胜率×平均盈利 - (1-胜率)×平均亏损
================================================================================





================================================================================
K线序列模式统计（从首次涨停到信号日）
共 324 笔有效交易，136 种不同模式
================================================================================

K线序列                                               样本数      胜率       平均收益       盈亏比      期望值
-------------------------------------------------- -------- -------- ---------- -------- ----------
大实体-大实体-大实体                                        30         23.3%     -3.05%    1.67     -3.05%
大实体-一字板-大实体                                        26         30.8%     -3.74%    0.90     -3.74%
大实体-中实体-大实体                                        19         47.4%     +0.83%    1.34     +0.83%
大实体-一字板-中实体                                        10         50.0%     +5.61%    3.07     +5.61%
大实体-一字板-小实体                                        7          85.7%     +8.83%    1.87     +8.83%
大实体-大实体-中实体                                        7          71.4%     +5.35%    1.07     +5.35%
大实体-一字板-一字板-中实体                                    7          42.9%     -3.47%    0.45     -3.47%
一字板-一字板-小实体                                        6          50.0%     +0.06%    1.02     +0.06%
大实体-一字板-一字板-大实体                                    6          33.3%     -1.18%    1.71     -1.18%
中实体-大实体-大实体                                        5          60.0%    +17.77%   25.86    +17.77%
中实体-一字板-大实体                                        5          60.0%    +10.40%    3.22    +10.40%
中实体-一字板-中实体                                        5          40.0%     -2.62%    0.77     -2.62%
一字板-一字板-中实体                                        5          40.0%     -4.59%    0.09     -4.59%
一字板-一字板-大实体                                        5          20.0%    -12.76%    0.13    -12.76%
大实体-一字板-一字板-小实体                                    4          75.0%     +7.96%   10.63     +7.96%
大实体-一字板-小实体-大实体                                    4         100.0%     +4.66%    0.00     +4.66%
大实体-大实体-一字板-大实体                                    4          50.0%     +1.59%    1.28     +1.59%
大实体-大实体-中实体-大实体                                    4          50.0%     +0.83%    1.16     +0.83%
大实体-中实体-一字板-大实体                                    4          50.0%     -1.16%    0.80     -1.16%
大实体-一字板-大实体-大实体                                    4          25.0%     -3.53%    0.84     -3.53%
大实体-中实体-一字板-中实体                                    4           0.0%     -8.26%    0.00     -8.26%
大实体-中实体-中实体                                        3          66.7%    +22.45%    7.02    +22.45%
大实体-小实体-大实体                                        3          66.7%    +21.37%    5.09    +21.37%
中实体-一字板-大实体-中实体                                    3          33.3%     +4.25%    5.61     +4.25%
大实体-一字板-一字板-一字板-大实体                                3          33.3%     +3.00%    4.35     +3.00%
一字板-一字板-一字板-大实体                                    3          33.3%     +2.02%    2.73     +2.02%
一字板-中实体-大实体                                        3          33.3%     +0.92%    4.23     +0.92%
一字板-一字板-一字板-一字板                                    3          33.3%     -1.71%    1.11     -1.71%
大实体-中实体-大实体-大实体                                    3          33.3%     -2.44%    1.05     -2.44%
大实体-一字板-中实体-大实体                                    3          33.3%     -2.73%    1.11     -2.73%
大实体-大实体                                            3          33.3%     -6.51%    0.13     -6.51%
大实体-一字板-一字板-大实体-大实体                                2         100.0%    +12.10%    0.00    +12.10%
一字板-一字板-一字板-小实体                                    2          50.0%     +8.55%    2.55     +8.55%
一字板-一字板-小实体-大实体                                    2          50.0%     +8.25%    3.10     +8.25%
大实体-大实体-一字板-大实体-大实体                                2         100.0%     +5.57%    0.00     +5.57%
